Lat,Long_,Confirmed,Deaths,Recovered,State,Color,City,Country
33.93911,67.709953,0.7337896798677532,0.6940630156402494,0.7301962538805925,Ghazni Province,"[0.7778440370480997, 0.668075586804476, 0.7667238869368145, 0.9999999999999997]",,Afghanistan
41.1533,20.1683,0.7429399107007087,0.6390237909253026,0.716850029663925,Central Albania,"[0.7778440370480997, 0.668075586804476, 0.7667238869368145, 0.9999999999999997]",,Albania
28.0339,1.6596,0.7787416672276976,0.715178666617788,0.7633201081794857,Adrar,"[0.7878865428504341, 0.6756989330926848, 0.7836528717775912, 0.9999999999999997]",,Algeria
42.5063,1.5218,0.609212626169141,0.4008387404450827,0.6120709249263195,,"[0.6148157763765943, 0.43786223567572624, 0.6105210469384851, 0.9999999999999996]",,Andorra
-11.2027,17.8739,0.6611742899977775,0.5423672990642467,0.6398629817638026,Malanje Province,"[0.6710186758196153, 0.5085703971129534, 0.6628923408426822, 0.9999999999999997]",,Angola
17.0608,-61.7964,0.3432403505683972,0.1616617121986984,0.3434427762876911,Antigua,"[0.4603360253490056, 0.1533946299443506, 0.3115735640613363, 0.9999999999999997]",,Antigua and Barbuda
-38.4161,-63.6167,0.9676038444818542,0.963393291125828,0.9735833657482766,La Pampa,"[0.8189712950683172, 0.7407034168701525, 0.809875968991345, 0.9999999999999996]",,Argentina
40.0691,45.0382,0.8103354616206804,0.7173350321429376,0.8150382893434734,Ararat Province,"[0.8189712950683172, 0.7407034168701525, 0.809875968991345, 0.9999999999999996]",,Armenia
-35.4735,149.0124,0.32321809713421357,0.12507857437281802,0.3256654975545015,,"[0.4603360253490056, 0.1533946299443506, 0.3115735640613363, 0.9999999999999997]",,Australia
-33.8688,151.2093,0.5754715619835817,0.3615621154520541,0.0,New South Wales,"[0.5707342635689108, 0.37124251336406516, 1.323607568380371e-37, 0.9999999999999998]",Sydney,Australia
-12.4634,130.8456,0.29803193237388614,0.0,0.2935263480795608,,"[0.3909880310603744, 0.06983997510563471, 0.19616290812634096, 0.9999999999999997]",Darwin,Australia
-27.4698,153.0251,0.48259545696516654,0.1755699757047394,0.48848502121466175,Queensland,"[0.4657256005582634, 0.22976109667904562, 0.45974519396387936, 0.9999999999999997]",Brisbane City,Australia
-34.9285,138.6007,0.4304560514764693,0.14521172795235232,0.43516666023104317,South Australia,"[0.4657256005582634, 0.22976109667904562, 0.45974519396387936, 0.9999999999999997]",Adelaide,Australia
-42.8821,147.3272,0.36923859439218953,0.23810926289114842,0.3708094383851197,Tasmania,"[0.4657256005582634, 0.22976109667904562, 0.45974519396387936, 0.9999999999999997]",Hobart,Australia
-37.8136,144.9631,0.671097994601738,0.6054577493542664,0.6781227476612596,Victoria,"[0.7157550414208713, 0.5574604980661806, 0.7100340794546958, 0.9999999999999997]",Melbourne,Australia
-31.9505,115.8605,0.45760600537106977,0.20775101513876137,0.46206114019162237,Western Australia,"[0.4657256005582634, 0.22976109667904562, 0.45974519396387936, 0.9999999999999997]",Perth,Australia
47.5162,14.5501,0.8660682894718364,0.7889724849037208,0.8735516615168514,Styria,"[0.8189712950683172, 0.7407034168701525, 0.809875968991345, 0.9999999999999996]",,Austria
40.1431,47.5769,0.8317926172487065,0.7130028732432765,0.8349280364518196,Karabakh,"[0.8189712950683172, 0.7407034168701525, 0.809875968991345, 0.9999999999999996]",,Azerbaijan
25.025885,-78.035889,0.6068618297091057,0.4644333042166218,0.5997777323326621,,"[0.614703847366382, 0.4540483879767063, 0.6042305217483668, 0.9999999999999997]",North Andros,Bahamas
26.0275,50.55,0.7738598986601544,0.5293027813891787,0.783376179739052,Southern Governorate,"[0.731187237932644, 0.5685394344314527, 0.7293424205589053, 0.9999999999999997]",,Bahrain
23.685,90.3563,0.8895052310977636,0.8062429633606375,0.8948659200416839,Bangladesh,"[0.8189712950683172, 0.7407034168701525, 0.809875968991345, 0.9999999999999996]",,
13.1939,-59.5432,0.40453052161548303,0.18761786155922705,0.3959051628831737,Barbados,"[0.4657256005582634, 0.22976109667904562, 0.45974519396387936, 0.9999999999999997]",,
53.7098,27.9534,0.8248752617605791,0.6563407873783835,0.8309468783990633,Belarus,"[0.7878865428504341, 0.6756989330926848, 0.7836528717775912, 0.9999999999999997]",,
51.2195,4.4024,0.7633981970110312,0.0,0.0,"Antwerp, Belgium","[0.5254922203007897, 0.1492400511657308, 0.002478835418996051, 0.9999999999999998]",,
50.8503,4.3517,0.7649343661034683,0.0,0.0,"Brussels, Belgium","[0.5254922203007897, 0.1492400511657308, 0.002478835418996051, 0.9999999999999998]",,
51.0362,3.7373,0.7498644175915625,0.0,0.0,"East Flanders, Belgium","[0.5254922203007897, 0.1492400511657308, 0.002478835418996051, 0.9999999999999998]",,
50.9167,4.5833,0.7308304076719089,0.0,0.0,"Flemish Brabant, Belgium","[0.5254922203007897, 0.1492400511657308, 0.002478835418996051, 0.9999999999999998]",,
50.5257,4.0621,0.7801939175426595,0.0,0.0,"Hainaut, Belgium","[0.5254922203007897, 0.1492400511657308, 0.002478835418996051, 0.9999999999999998]",,
50.4496,5.8492,0.7766237313117151,0.0,0.0,"Liege, Belgium","[0.5254922203007897, 0.1492400511657308, 0.002478835418996051, 0.9999999999999998]",,
50.9739,5.342,0.6959214887815013,0.0,0.0,"Limburg, Belgium","[0.5254922203007897, 0.1492400511657308, 0.002478835418996051, 0.9999999999999998]",,
50.0547,5.4677,0.664358893123995,0.0,0.0,"Luxembourg, Belgium","[0.5254922203007897, 0.1492400511657308, 0.002478835418996051, 0.9999999999999998]",,
